cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_peak_memory_kb,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/unsat/UUF50.218.1000/uuf50-01.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.745762,0.001528,0.000126,3408,202,1358,154,231,922,155,0,13,
test/unsat/UUF50.218.1000/uuf50-02.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.843983,0.000917,0.000078,1836,166,721,84,126,522,85,0,12,
test/unsat/UUF50.218.1000/uuf50-03.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.941745,0.001155,0.000090,1952,122,801,88,132,555,89,0,11,
test/unsat/UUF50.218.1000/uuf50-04.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166927.946225,0.001538,0.000162,3444,364,1651,178,267,1181,179,0,13,
test/unsat/UUF50.218.1000/uuf50-05.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.041922,0.001173,0.000145,1912,262,1564,158,237,1110,159,0,14,
test/unsat/UUF50.218.1000/uuf50-06.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.049055,0.093287,0.000140,1928,260,1628,176,264,1159,177,0,12,
test/unsat/UUF50.218.1000/uuf50-07.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.145204,0.001318,0.000150,1920,280,1649,170,255,1176,171,0,12,
test/unsat/UUF50.218.1000/uuf50-08.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.243006,0.000934,0.000092,1900,114,1040,112,168,702,113,0,12,
test/unsat/UUF50.218.1000/uuf50-09.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.246111,0.000963,0.000089,1812,192,992,116,174,661,117,0,11,
test/unsat/UUF50.218.1000/uuf50-010.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.249734,0.092270,0.000086,1820,88,735,76,114,523,77,0,9,
test/unsat/UUF50.218.1000/uuf50-011.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.345263,0.001146,0.000111,1976,136,1034,118,177,695,119,0,10,
test/unsat/UUF50.218.1000/uuf50-012.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.354938,0.087706,0.000168,1864,144,1127,116,174,776,117,0,11,
test/unsat/UUF50.218.1000/uuf50-013.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.445055,0.001491,0.000182,3412,332,1714,166,249,1188,167,0,13,
test/unsat/UUF50.218.1000/uuf50-014.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.449152,0.001018,0.000077,1912,178,838,94,141,567,95,0,11,
test/unsat/UUF50.218.1000/uuf50-015.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.542786,0.001550,0.000160,3260,248,1788,208,312,1190,209,0,14,
test/unsat/UUF50.218.1000/uuf50-016.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.548091,0.001156,0.000108,3384,340,1069,132,198,778,133,0,15,
test/unsat/UUF50.218.1000/uuf50-017.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.641733,0.001056,0.000097,1900,178,1091,118,177,751,119,0,12,
test/unsat/UUF50.218.1000/uuf50-018.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.645798,0.001192,0.000099,1908,174,1000,106,159,691,107,0,10,
test/unsat/UUF50.218.1000/uuf50-019.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.742418,0.001074,0.000109,3408,126,1187,118,177,817,119,0,13,
test/unsat/UUF50.218.1000/uuf50-020.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.842967,0.001422,0.000115,1928,188,1113,130,195,793,131,0,11,
test/unsat/UUF50.218.1000/uuf50-021.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.941873,0.001559,0.000158,1904,220,1736,188,282,1243,189,0,11,
test/unsat/UUF50.218.1000/uuf50-022.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166928.946261,0.002733,0.000279,3256,488,2916,328,492,2022,329,0,15,
test/unsat/UUF50.218.1000/uuf50-023.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.041479,0.001574,0.000188,2012,288,2178,238,357,1494,239,0,12,
test/unsat/UUF50.218.1000/uuf50-024.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.046490,0.001320,0.000150,1900,208,1539,162,243,1062,163,0,12,
test/unsat/UUF50.218.1000/uuf50-025.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.146223,0.004902,0.000198,1876,438,1986,214,321,1358,215,0,12,
test/unsat/UUF50.218.1000/uuf50-026.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.244287,0.001144,0.000089,1836,212,944,116,174,619,117,0,13,
test/unsat/UUF50.218.1000/uuf50-027.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.342318,0.001669,0.000172,3488,236,1756,182,273,1260,183,0,14,
test/unsat/UUF50.218.1000/uuf50-028.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.441509,0.001877,0.000244,3296,324,2587,274,411,1777,275,0,13,
test/unsat/UUF50.218.1000/uuf50-029.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.446729,0.001391,0.000173,1912,344,1951,196,294,1351,197,0,11,
test/unsat/UUF50.218.1000/uuf50-030.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.544689,0.001305,0.000133,1904,266,1360,160,240,907,161,0,13,
test/unsat/UUF50.218.1000/uuf50-031.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.643326,0.001607,0.000173,3300,354,1820,224,336,1257,225,0,13,
test/unsat/UUF50.218.1000/uuf50-032.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.647865,0.000959,0.000089,1936,114,883,102,153,610,103,0,12,
test/unsat/UUF50.218.1000/uuf50-033.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.742590,0.001059,0.000107,1932,128,1096,112,168,787,113,0,11,
test/unsat/UUF50.218.1000/uuf50-034.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.746841,0.094399,0.000151,1920,380,1561,168,252,1067,169,0,10,
test/unsat/UUF50.218.1000/uuf50-035.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.845587,0.001945,0.000214,3408,322,2280,258,387,1581,259,0,14,
test/unsat/UUF50.218.1000/uuf50-036.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166929.942748,0.001003,0.000091,1904,216,919,100,150,633,101,0,11,
test/unsat/UUF50.218.1000/uuf50-037.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166930.044080,0.002070,0.000205,3144,406,1902,208,312,1348,209,0,18,
test/unsat/UUF50.218.1000/uuf50-038.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166930.142950,0.001068,0.000095,1864,102,756,82,123,523,83,0,11,
test/unsat/UUF50.218.1000/uuf50-039.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166930.147902,0.001028,0.000090,1864,220,886,100,150,613,101,0,10,
test/unsat/UUF50.218.1000/uuf50-040.cnf,unsat,unsat/UUF50.218.1000,1,1,UNSAT,UNSAT,TRUE,0,FALSE,1778166930.245765,0.001097,0.000100,1816,194,954,110,165,656,111,0,11,
