cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_peak_memory_kb,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/UF150.645.100/uf150-01.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166908.055774,0.386453,0.319537,1916,7231103,49805,2812,4251,8462,2847,0,36,
test/sat/UF150.645.100/uf150-02.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166908.446503,1.319084,1.292945,1924,21046070,145967,8197,12326,24307,8230,0,35,
test/sat/UF150.645.100/uf150-03.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166909.843294,59.902330,55.587382,1904,390641078,2574218,147544,221342,432656,147574,0,41,
test/sat/UF150.645.100/uf150-04.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166969.842606,0.002769,0.001802,1820,102621,260,13,65,113,60,0,47,
test/sat/UF150.645.100/uf150-05.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166969.848988,4.294413,4.082689,1976,26987724,176307,10968,16482,29976,11002,0,34,
test/sat/UF150.645.100/uf150-06.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166974.147260,0.899403,0.891635,1896,5528659,39501,1987,3014,6453,2023,0,36,
test/sat/UF150.645.100/uf150-07.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166975.143643,2.305889,2.111625,2012,14100585,91087,5434,8172,15742,5459,0,32,
test/sat/UF150.645.100/uf150-08.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166977.453291,0.091708,0.090525,1824,203550,1104,55,125,241,100,0,45,
test/sat/UF150.645.100/uf150-09.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166977.549340,1.494698,1.308181,1900,9962920,69231,3769,5690,11404,3809,0,40,
test/sat/UF150.645.100/uf150-010.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166979.047947,0.095179,0.007553,1920,390695,2548,145,247,480,177,0,32,
test/sat/UF150.645.100/uf150-011.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166979.146165,0.002555,0.001572,1864,87428,233,3,46,97,47,0,44,
test/sat/UF150.645.100/uf150-012.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778166979.243909,27.908282,26.559387,1904,201344150,1297315,80189,120318,227744,80227,0,41,
test/sat/UF150.645.100/uf150-013.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778167007.243091,0.504388,0.498095,1864,4392607,30228,1714,2613,5021,1758,0,44,
test/sat/UF150.645.100/uf150-014.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778167007.751460,17.091238,16.152490,1924,134052292,857242,52578,78895,148037,52609,0,38,
test/sat/UF150.645.100/uf150-015.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778167024.847110,1.106858,1.094028,1808,9146862,61736,3429,5175,10422,3463,0,38,
test/sat/UF150.645.100/uf150-016.cnf,sat,sat/UF150.645.100,1,0,SAT,SAT,TRUE,0,FALSE,1778167026.045825,0.003008,0.001950,1816,110775,301,11,61,124,57,0,46,
