cnf_file,category,priority_folder,DLIS,watched_literals,expected_result,actual_result,correct,exit_code,timed_out,monitor_start_time,monitor_total_time,monitor_unit_propagation_time,monitor_peak_memory_kb,monitor_clause_checks,monitor_variable_assignments,monitor_backtrack_count,monitor_state_copies,monitor_unit_propagation_rounds,monitor_unit_propagation_calls,monitor_current_recursion_depth,monitor_max_recursion_depth,stderr
test/sat/UF150.645.100/uf150-01.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778166908.180317,6.272688,0.908203,4372,210772,2570506,152457,228700,1792439,152476,0,41,
test/sat/UF150.645.100/uf150-02.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778166914.545803,0.808223,0.278061,4192,21224,236753,14011,21045,169554,14045,0,41,
test/sat/UF150.645.100/uf150-03.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778166915.445994,674.707892,101.353925,4432,12217200,166731656,10046794,15070214,117735118,10046823,0,52,
test/sat/UF150.645.100/uf150-04.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778167590.245447,50.102223,6.679847,4148,980080,13412697,828239,1242389,9369763,828274,0,40,
test/sat/UF150.645.100/uf150-05.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778167640.353383,817.203230,103.292545,4612,28307912,210736615,14157485,21236252,140924672,14157517,0,48,
test/sat/UF150.645.100/uf150-06.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778168457.644151,98.706617,12.458830,4096,2961854,29963559,1867752,2801656,20305316,1867787,0,44,
test/sat/UF150.645.100/uf150-07.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778168556.442831,50.616647,7.370705,4216,1401566,12967339,870308,1305486,8763450,870339,0,41,
test/sat/UF150.645.100/uf150-08.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778168607.146199,1.407806,0.283352,4124,59618,521812,28810,43239,375801,28839,0,41,
test/sat/UF150.645.100/uf150-09.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778168608.646236,204.905829,24.994468,4392,5206780,64182345,4263524,6395313,43649022,4263561,0,49,
test/sat/UF150.645.100/uf150-010.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778168813.643886,200.311157,26.990889,4456,4299956,66071672,4205208,6307846,44526813,4205249,0,48,
test/sat/UF150.645.100/uf150-011.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169014.043040,0.605538,0.097347,3684,16968,205442,11955,17966,141169,11992,0,37,
test/sat/UF150.645.100/uf150-012.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169014.652815,361.390477,46.644669,4360,14033254,121148774,7935191,11902806,83093691,7935219,0,47,
test/sat/UF150.645.100/uf150-013.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169376.049047,62.618852,7.926946,4592,3651850,34154358,2212950,3319445,23665736,2212975,0,45,
test/sat/UF150.645.100/uf150-014.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169438.743549,144.711231,15.175974,4740,6533274,70529351,5127946,7691953,46858917,5127991,0,53,
test/sat/UF150.645.100/uf150-015.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169583.459116,97.697991,12.473612,4344,3379610,52295633,3232513,4848802,36042970,3232554,0,52,
test/sat/UF150.645.100/uf150-016.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169681.161750,26.402732,3.229557,4256,1417206,14263412,896676,1345048,9901910,896714,0,42,
test/sat/UF150.645.100/uf150-017.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169707.644267,0.303124,0.010286,3796,11906,143658,10053,15105,95805,10083,0,36,
test/sat/UF150.645.100/uf150-018.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169707.952935,9.390718,1.212637,4476,391088,4898726,322849,484294,3424904,322876,0,43,
test/sat/UF150.645.100/uf150-019.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169717.347665,81.812446,11.641136,4348,5849476,42932451,2822794,4234220,29124721,2822835,0,46,
test/sat/UF150.645.100/uf150-020.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169799.164208,12.294268,1.909734,4376,530002,5953865,425299,637983,3835368,425343,0,45,
test/sat/UF150.645.100/uf150-021.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169811.463296,25.481582,3.554124,4324,1029012,13556022,860117,1290201,9492789,860149,0,51,
test/sat/UF150.645.100/uf150-022.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169836.949820,17.412682,2.410520,4220,593044,8383475,529313,794002,5835063,529351,0,47,
test/sat/UF150.645.100/uf150-023.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169854.443086,46.407149,5.695069,4308,2654818,23853382,1556531,2334813,16290415,1556555,0,51,
test/sat/UF150.645.100/uf150-024.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778169900.855705,236.908931,28.477183,4604,12382918,117253899,8160603,12240933,78655964,8160641,0,52,
test/sat/UF150.645.100/uf150-025.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170137.845762,215.404975,27.372122,4432,13700764,109179081,7178359,10767560,72438727,7178386,0,47,
test/sat/UF150.645.100/uf150-026.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170353.256026,25.993245,2.851741,4196,895958,12428201,879369,1319076,8340534,879397,0,46,
test/sat/UF150.645.100/uf150-027.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170379.253557,7.417475,0.907468,4060,370158,3911054,254836,382282,2668312,254868,0,41,
test/sat/UF150.645.100/uf150-028.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170386.742781,30.609099,4.609028,4148,1535336,17024622,1035782,1553689,11951035,1035803,0,44,
test/sat/UF150.645.100/uf150-029.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170417.357048,6.686806,0.542416,4372,365672,3482300,211110,316699,2463598,211153,0,43,
test/sat/UF150.645.100/uf150-030.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170424.048480,11.195525,1.686590,4340,592896,6335135,374610,561946,4569346,374646,0,49,
test/sat/UF150.645.100/uf150-031.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170435.249196,106.605347,12.917335,4356,8859432,54919502,3649326,5474016,35978835,3649358,0,46,
test/sat/UF150.645.100/uf150-032.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170541.859482,11.708689,1.319685,4112,542052,6921581,455180,682790,4688786,455205,0,39,
test/sat/UF150.645.100/uf150-033.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170553.642567,8.516504,1.380153,4020,510244,5141690,329503,494279,3563411,329533,0,38,
test/sat/UF150.645.100/uf150-034.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170562.164227,22.080940,2.367973,4336,2121172,12995475,887125,1330721,8633141,887169,0,48,
test/sat/UF150.645.100/uf150-035.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170584.249990,19.102359,2.518842,4448,2097464,12120076,773527,1160326,8189363,773567,0,50,
test/sat/UF150.645.100/uf150-036.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170603.356970,21.899657,2.330409,4100,1470670,14440074,908947,1363449,9664071,908980,0,41,
test/sat/UF150.645.100/uf150-037.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170625.261514,4.897516,0.696824,4424,283282,2992947,186792,280208,2129474,186817,0,46,
test/sat/UF150.645.100/uf150-038.cnf,sat,sat/UF150.645.100,0,1,SAT,SAT,TRUE,0,FALSE,1778170630.163548,2.591943,0.320842,4080,239368,1551754,101775,152690,1083412,101811,0,36,
